#,Spotify URL,Song Title,Artists
270,https://open.spotify.com/track/6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,Kansas
271,https://open.spotify.com/track/0YYg6U1Yrd4UjnG5iVhiXh,Missing Piece,Vance Joy
272,https://open.spotify.com/track/476V2d6iA2tWXgQboKmTtA,Father And Son,Yusuf / Cat Stevens
273,https://open.spotify.com/track/1UXHK1EVHQj1o4EF6Q4zmb,Song For My Father,Sarah McLachlan
274,https://open.spotify.com/track/4UzVcXufOhGUwF56HT7b8M,My Immortal,Evanescence
275,https://open.spotify.com/track/1d6KS9GH06JAd19uiBy9IE,Ironic,Alanis Morissette
276,https://open.spotify.com/track/2AXo5JcvQCwr6dNfSWMcX0,Everybody's Free (To Wear Sunscreen),Various Artists
277,https://open.spotify.com/track/1rZNmXkjo9eLH10BlE8LEK,Troy,Sinéad O Connor
278,https://open.spotify.com/track/00W0z4GR2fU8v11dhszOdw,The Unguarded Moment,The Church
279,https://open.spotify.com/track/2W65kxz7ZPOeEPcUZgasLP,Waste of Time,Alex the Astronaut
280,https://open.spotify.com/track/4WFeJTXNHIS2wURtwlAkhu,Time Warp,"Little Nell, Patricia Quinn, Richard O Brien"
281,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K,august,Taylor Swift
282,https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan
283,https://open.spotify.com/track/3lG5RffAA1qLWyzfSspYa5,History Never Repeats,Split Enz
284,https://open.spotify.com/track/6pYNq0ZwpPVazKzsqpf0G8,The Very First Night (Taylor's Version) (From The Vault),Taylor Swift
285,https://open.spotify.com/track/6lanCCozUAMy9YWSXki2KT,Edge of Night [Pippin's Song] (Bonus Track),MALINDA
286,https://open.spotify.com/track/2Wmm4aEFUISjdmVuy7VGL0,Seven Days,Sting
287,https://open.spotify.com/track/2mZlotDzHY2XXoctTYVMiN,Nobody Told Me,John Lennon
288,https://open.spotify.com/track/39lnzOIUCSNaQmgBHoz7rt,Everyday,"Buddy Holly, The Crickets"
289,https://open.spotify.com/track/3zf2eLN9Yf8ayZO5cn4Xh5,This Is the Day,The The
290,https://open.spotify.com/track/0cK7vBvgmRQVJpqgNwehch,Alone with You,Sunnyboys
291,https://open.spotify.com/track/61YM5SkqqeUjIBL7It56cs,Nocturne Op. 9 No. 2,"Frédéric Chopin, Olga Bordas"
292,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR,No Time To Die,Billie Eilish
293,https://open.spotify.com/track/4URRQZ6IvDzs3vKwEULroi,A Singer Must Die,Leonard Cohen
294,https://open.spotify.com/track/0NWXoF9fuc43EeypHvL61j,Day I Die,Holly Wild
295,https://open.spotify.com/track/55n9yjI6qqXh5F2mYvUc2y,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift"
296,https://open.spotify.com/track/2VoxjP9yi6DWwf9kxRilfr,The Gift,The Velvet Underground
297,https://open.spotify.com/track/4ByEFOBuLXpCqvO1kw8Wdm,(I Just) Died In Your Arms,Cutting Crew
298,https://open.spotify.com/track/7wck5ORA8dJB8To9rc10gi,Video Killed The Radio Star,The Presidents Of The United States Of America
299,https://open.spotify.com/track/0jvrac0ac39rXsPgG2MSZ3,All You Zombies,The Hooters
300,https://open.spotify.com/track/0fBSs3fRoh1yJcne77fdu9,Video Games,Lana Del Rey
301,https://open.spotify.com/track/6fA0QNPrp6cg6FARteXXKE,Atomic Electric,Rebecca's Empire
302,https://open.spotify.com/track/6mHOcVtsHLMuesJkswc0GZ,The Logical Song,Supertramp
303,https://open.spotify.com/track/2bzBI23EJWHjXmGj3xlYaM,It's Raining Again,Supertramp
304,https://open.spotify.com/track/3xaaJ3qP9n6AjjkNMHVcIe,How About You?,"Rosemary Clooney, Bing Crosby"
305,https://open.spotify.com/track/0lBd45p0H0spiLg9hT8FH5,If You Don't Know Me By Now (2008 Remastered Album Version),Simply Red
306,https://open.spotify.com/track/7jZEFpKZ7w0RaKjtFcXaaz,Epilogue (Nothing 'Bout Me),Sting
307,https://open.spotify.com/track/5GR3uPoMssije2m2CM0Qyu,One Too Many,Baby Animals
308,https://open.spotify.com/track/7qnvSTNIjT6d9hf05P6sqi,Infected,The The
309,https://open.spotify.com/track/5NUXE8W12lWcUXgJRCjeEw,One Too Many,"Keith Urban, P!nk"
310,https://open.spotify.com/track/7x8dCjCr0x6x2lXKujYD34,The Pretender,Foo Fighters
311,https://open.spotify.com/track/0S8ibKBl3tjRmYbZhGHNhG,Only You (And You Alone),The Platters
312,https://open.spotify.com/track/7EhX08TRb8Ml28RNggujz0,This Never Happened Before,Paul McCartney
313,https://open.spotify.com/track/7skKVEAqRBFiyNsrnQtt8z,"Prelude in E Minor, Op. 28, No. 4","Frédéric Chopin, Arthur Rubinstein"
314,https://open.spotify.com/track/6mI3a3KytB3QjyUst4Pprr,Consider Me Gone,Sting
315,https://open.spotify.com/track/7CQwrwJSd2XBYUiGkyQyWC,If I Can't Have You,Kim Wilde
316,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1,Lose Yourself,Eminem
317,https://open.spotify.com/track/4qsVPnhbvEooD1bSNqvvh0,Let It Be,The Beatles
318,https://open.spotify.com/track/1k691v8ChLgDiuLLKnjyj6,In Spite of Ourselves (feat. Iris DeMent),"John Prine, Iris DeMent"
319,https://open.spotify.com/track/7ANyYKypxunW6LRaUowLUn,King Of Pain,"Sting, Royal Philharmonic Concert Orchestra, Steven Mercurio"
320,https://open.spotify.com/track/1gaLZjPrDnHQWJds2Jg4KT,this is me trying,Taylor Swift
321,https://open.spotify.com/track/3lh3iiiJeiBXHSZw6u0kh6,Into the Mystic,Van Morrison
322,https://open.spotify.com/track/54eZmuggBFJbV7k248bTTt,A Horse with No Name,"America, George Martin"
323,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles
324,https://open.spotify.com/track/6CU0zWIWVTEnmWpSjVHM93,You Gotta Be,Des'ree
325,https://open.spotify.com/track/4FEHJmrM8sMVJkKvRbPDPt,Perfect,Vanessa Amorosi
326,https://open.spotify.com/track/48RrDBpOSSl1aLVCalGl5C,The Monster,"Eminem, Rihanna"
327,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber
328,https://open.spotify.com/track/1T1ufH3jSP7uAYKoie68KI,Haunted,Shane MacGowan & The Popes
329,https://open.spotify.com/track/573EXMFHsEKPRSy08G91Sr,Terrified,"Katharine McPhee, Jason Reeves"
330,https://open.spotify.com/track/389QX9Q1eUOEZ19vtzzI9O,While My Guitar Gently Weeps,The Beatles
331,https://open.spotify.com/track/60GXsrlgXeaKNHKtP71ruN,Don't Cry for Me Argentina,Sinéad O Connor
332,https://open.spotify.com/track/1MgV7FIyNxIG7WzMRJV5HC,my tears ricochet,Taylor Swift
333,https://open.spotify.com/track/2pbQKEERRFFWdrFQNXhsUi,Crying,k.d. lang
334,https://open.spotify.com/track/1qr9bymNcBLy71PnO15jWi,Face It Alone,Queen
335,https://open.spotify.com/track/6PjRzRqUpaBqiOAeQTPwnG,Owner of a Lonely Heart,Yes
336,https://open.spotify.com/track/2uNq2hKb4X1S30hBgoywOF,Left Outside Alone,Anastacia
337,https://open.spotify.com/track/5HvLxMeai31mM560lrIITQ,Missing,"Everything But The Girl, Todd Terry"
338,https://open.spotify.com/track/5ZIqPrtUDN8man1rSHXKAX,"(What's So Funny 'Bout) Peace, Love And Understanding",Elvis Costello & The Attractions
339,https://open.spotify.com/track/1xhBGbCBwgkK7CPTloHqFg,That's When I Think Of You,1927
340,https://open.spotify.com/track/2hns6Dv29Yrg68AVTJiAyA,Who Knew,P!nk
341,https://open.spotify.com/track/53ye9mmFSRfKFu9dR6ai2N,Thought I Knew You,Matthew Sweet
342,https://open.spotify.com/track/0UBlk85KaFapEIZgTbbiue,Unbelievable,EMF
343,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,Portugal. The Man
344,https://open.spotify.com/track/6MgxI462nuWQkMowINdZkw,If It Be Your Will (feat. Leonard Cohen),"The Webb Sisters, Leonard Cohen"
345,https://open.spotify.com/track/48xq0DnfAKtsFjK1L7GZx9,Wish You Well,Bernard Fanning
346,https://open.spotify.com/track/3lG6OtGDsYAOALxEmubQQm,Happiness is a butterfly,Lana Del Rey
347,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic
348,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park
349,https://open.spotify.com/track/7ajPDMxJkj2UCCGE2tnC9u,Comfortably Numb,Pink Floyd
350,https://open.spotify.com/track/7D5n2kpYH2WSqIyEO9MeXf,Patience,Guns N Roses
351,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police
352,https://open.spotify.com/track/3thb7lUjdj22MuxrY0YUfd,At First Sight,The Stems
353,https://open.spotify.com/track/0HOrDVS349XFcpCYsO2hAP,You Ain't Seen Nothing Yet,Bachman-Turner Overdrive
354,https://open.spotify.com/track/0XDv7SLyMkGcAnb12fMHa1,Senses Working Overtime,XTC
355,https://open.spotify.com/track/1XwCk6CjGYTnbsYVeLvE1M,"Also Sprach Zarathustra (‘Thus Spake Zarathustra’), Op. 30","Richard Strauss, Vasily Petrenko, Oslo Philharmonic Orchestra"
356,https://open.spotify.com/track/3lGiHc4wh8ErmyczuggB0D,Desperado,Eagles
357,https://open.spotify.com/track/1KRqWKH0pOPA0CmkcpynuG,Head Over Feet,Alanis Morissette
358,https://open.spotify.com/track/6hTcuIQa0sxrrByu9wTD7s,Born to Run,Bruce Springsteen
359,https://open.spotify.com/track/1PtQJZVZIdWIYdARpZRDFO,Running Up That Hill (A Deal With God),Kate Bush
360,https://open.spotify.com/track/1OxcIUqVmVYxT6427tbhDW,Fly Away,Lenny Kravitz
361,https://open.spotify.com/track/2Zo1PcszsT9WQ0ANntJbID,Feather,Sabrina Carpenter
362,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish
363,https://open.spotify.com/track/64fpIKqDBd8ATyx7koS68Q,Budgie,Vince Jones
364,https://open.spotify.com/track/0GICuax2BW58OcwxdOJGMI,Walls,Flowers
365,https://open.spotify.com/track/7ledv9CTjqdwnvHgRmETyZ,Flowers On the Wall,The Statler Brothers
366,https://open.spotify.com/track/7eoTxUGJ80w2HrqtlJPTI5,Walls Come Tumbling Down,The Style Council
367,https://open.spotify.com/track/7DLe5d6DPmsHTsExc7Kemu,Breakaway,Big Pig
368,https://open.spotify.com/track/0cG9ocYqYOIVtgiWTmTe3g,Breaking the Girl,Red Hot Chili Peppers
369,https://open.spotify.com/track/1JcYU3tPyLa6ItVM60XmIs,Just A Gigolo,Bing Crosby
370,https://open.spotify.com/track/3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,Red Hot Chili Peppers
371,https://open.spotify.com/track/4yugZvBYaoREkJKtbG08Qr,Take It Easy,Eagles
372,https://open.spotify.com/track/0lx2cLdOt3piJbcaXIV74f,willow,Taylor Swift
373,https://open.spotify.com/track/0s0Ch74Y6Tfe11kUjIxiws,You're My Best Friend,Queen
374,https://open.spotify.com/track/0eCnNVgiZZ7nrBXVUHmuSr,Imaginary Girl,Hunters & Collectors
375,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan
376,https://open.spotify.com/track/3wAX3qn53iQUFE84hpfeen,Simple Twist of Fate,Bob Dylan
377,https://open.spotify.com/track/4HcfH156Nn76SpL4TkkxyZ,Baker Street,Gerry Rafferty
378,https://open.spotify.com/track/4y5bvROuBDPr5fuwXbIBZR,Paper Rings,Taylor Swift
379,https://open.spotify.com/track/0Ph6L4l8dYUuXFmb71Ajnd,Livin' la Vida Loca,Ricky Martin
380,https://open.spotify.com/track/0PurA4JVJ8YQgSVopY8fn6,tolerate it,Taylor Swift
381,https://open.spotify.com/track/0MpQPb1hrwk4dPiyWEGmer,She Calls Me Back (with Kacey Musgraves),"Noah Kahan, Kacey Musgraves"
382,https://open.spotify.com/track/3guGAtyo4OMdTZzOshIugb,Call Your Mom (with Lizzy McAlpine),"Noah Kahan, Lizzy McAlpine"
383,https://open.spotify.com/track/5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace
384,https://open.spotify.com/track/7mzNk14FElnA5DOKQyBrM0,Something,The Beatles
385,https://open.spotify.com/track/2DRMuw0U0QbkVQxWxdJV3M,Water Under the Bridge,Adele
386,https://open.spotify.com/track/3pD0f7hSJg2XdQ6udw5Tey,What Goes Around.../...Comes Around (Interlude),Justin Timberlake
387,https://open.spotify.com/track/2sZbh9TpSkOUfY24ytf1VT,Fortress Around Your Heart,"Sting, Stephen Fitzmaurice"
388,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift
389,https://open.spotify.com/track/0HHIbFhmTXsIzz2VUmkH96,I Heard It Through The Grapevine,Creedence Clearwater Revival
390,https://open.spotify.com/track/1J2WmkS1Z18AuDWZCgIC5K,Fidelity,Regina Spektor
391,https://open.spotify.com/track/0HSmS7KsbOpB3K4UFdOSx9,The Emperor's New Clothes,Sinéad O Connor
392,https://open.spotify.com/track/5NmBhMK9Pfu1XNAyzmxIro,That's How I Got To Memphis,Tom T. Hall
393,https://open.spotify.com/track/3Yn97I3qIj7Px0Bi4rkD2q,Evermore,Dan Stevens
394,https://open.spotify.com/track/73g4NS55tJFJMI4D4E1RtG,Goodbye Yellow Brick Road (From Ant-Man and The Wasp: Quantumania Trailer),Geek Music
