#,Spotify URL,Song Title,Artists
59,https://open.spotify.com/track/2FEhotYzQW8wdxy6PN2WU8,Levi Stubbs' Tears,Billy Bragg
60,https://open.spotify.com/track/1ejh2DqEdjYcqA1OW1a7Hi,No Pussy Blues,Grinderman
61,https://open.spotify.com/track/64Hx5gD6lvfxIFU1KMJML0,The Price I Pay,Billy Bragg
62,https://open.spotify.com/track/7ziicmUOzWXAkdPriOmFk9,The Only One I Know,The Charlatans
63,https://open.spotify.com/track/1uPDr3h5KmmAF6hkg7JcZE,Only You,Bruce Maginnis
64,https://open.spotify.com/track/4SX6MuXZrQRsVv6MI1rWGI,Tammy,Debbie Reynolds
65,https://open.spotify.com/track/6VL9yCcaOujJYNqZnVV2SE,Love Is a Stranger,Kate Miller-Heidke
66,https://open.spotify.com/track/4n8WKdlSKYbtVe6ELlbvup,You Can't Put Your Arms Around a Memory,Johnny Thunders
67,https://open.spotify.com/track/1iiQGNfXljtGZWY8yz9epr,I Can't Forget,Leonard Cohen
68,https://open.spotify.com/track/3U5JVgI2x4rDyHGObzJfNf,Unwritten,Natasha Bedingfield
69,https://open.spotify.com/track/6TGYhiXuiLGQEkGOsxPgKH,Possibly Maybe,Björk
70,https://open.spotify.com/track/4txojlesMFQZGWxwz2EeqB,"Would've, Could've, Should've",Taylor Swift
71,https://open.spotify.com/track/6A521u0gY1goZmyLRFS0yK,"Something, Somehow, Someday",ROLE MODEL
72,https://open.spotify.com/track/7AwNJe0eBBZRQBEh95rgHz,Bluebird Of Happiness,Jan Peerce
73,https://open.spotify.com/track/1pXgBjIvALm97lDhroan2E,Times Like These,Foo Fighters
74,https://open.spotify.com/track/1dT8R1DLYOVZBMd0KUr2pr,Rebel Yell,Billy Idol
75,https://open.spotify.com/track/1N4f06yuLRadAmdClsbUoi,Remember You're Mine,Pat Boone
76,https://open.spotify.com/track/5jnAgTlGzjk0UmCkXo1lRv,Piece O' Peace,Michael Franti & Spearhead
77,https://open.spotify.com/track/3Zwu2K0Qa5sT6teCCHPShP,Thnks fr th Mmrs,Fall Out Boy
78,https://open.spotify.com/track/13pyGLYmBjYgvOMIEivX2K,I Don't Feel Like Dancin',Scissor Sisters
79,https://open.spotify.com/track/67d8PXMNPiKauh0XQk9Ls7,Dreamgirl,Dave Matthews Band
80,https://open.spotify.com/track/04ad6JdnrYtTQ2hjc4LulJ,Turn Back Time,Aqua
81,https://open.spotify.com/track/2Srd8Jgif3kc6ou6Z4pSYJ,Every You Every Me,Placebo
82,https://open.spotify.com/track/0gwmk4aEcJ36YJowdXzDtu,When The River Runs Dry,Hunters & Collectors
83,https://open.spotify.com/track/1LwP9g1Hjbs64jXM2Qsxry,Just Like Honey,The Jesus and Mary Chain
84,https://open.spotify.com/track/56nIKhsMf67vT6joWhMWpT,All I Want for Christmas Is You,Mariah Carey
85,https://open.spotify.com/track/3BJe4B8zGnqEdQPMvfVjuS,Summertime Sadness,Lana Del Rey
86,https://open.spotify.com/track/2IRMCtPrxmJwpyfCF8WcJA,"Mozart: Die Zauberflöte, K. 620, Act 2: Queen of the Night Aria. &quot;Der Hölle Rache kocht in meinem Herzen&quot; (Königin)","Wolfgang Amadeus Mozart, Diana Damrau, Le Cercle De L'Harmonie, Jérémie Rhorer"
87,https://open.spotify.com/track/00iXlZ8jMVxSrxXvQomYU1,Home Is Where the Heart Is,Elvis Presley
88,https://open.spotify.com/track/6DfzPrEzfEFNiCghZsdVBV,Home Is Where The Heart Is,Lady A
89,https://open.spotify.com/track/55XOFkEEYgeqxZkQfEt97X,The Needle and the Damage Done,Neil Young
90,https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU,The Chain,Fleetwood Mac
91,https://open.spotify.com/track/0qi4b1l0eT3jpzeNHeFXDT,Just Can't Get Enough,Depeche Mode
92,https://open.spotify.com/track/7xoUc6faLbCqZO6fQEYprd,One Last Time,Ariana Grande
93,https://open.spotify.com/track/4WFgvKVfEhb3IUAFGrutTR,Love Me Not,Ravyn Lenae
94,https://open.spotify.com/track/3iHzKA9HlXf5wsGdsrsnSA,Forget Me,Lewis Capaldi
95,https://open.spotify.com/track/6QuZItiMYtld6kAeQbs7Tv,New Sensation,INXS
96,https://open.spotify.com/track/55C2I2kOuiadd96cqVL2tx,Send Me An Angel (2009 Version),Real Life
97,https://open.spotify.com/track/3IPnBzGRMg6BfViFxxa0Gq,Love Is an Open Door,"Kristen Bell, Santino Fontana"
98,https://open.spotify.com/track/6MYYN85MjM7TARWshRwjyW,Human Behaviour,Björk
99,https://open.spotify.com/track/0tHOTQBn2M4CD2dcyHivth,Burn,The Cure
100,https://open.spotify.com/track/7c1iI6dwdCpHGYT8DGEfab,Uninvited,Alanis Morissette
101,https://open.spotify.com/track/5gNpWhKgAmTxIl3G2Wne5U,Girl In The Moon,ICEHOUSE
