ID,Sequence,Title,Notes,All_Day,Anchor_Type,SY_Month,SY_Day,SY_Start_Year,Origin_Gregorian_Date,Gregorian_First_Year,ShowOnCalendar,ShowInInspector,ShowNotesOnCalendar,Category,Rank,GY_Month,GY_Day,Nth,Weekday,Offset_Days,End_Gregorian_Date,End_TZ
"OneOFF_MiAViG_MiA,ViG_-_Event_#_18",180,"MiA,ViG - Event # 18","Mars in Aries, Venus in Gemini - Instance 18 of the Constellation of This",TRUE,GY_ONEOFF,,,0155,2148-08-08 00:00:00,2148,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,8,8,,,,2148-08-16 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_19",190,"MiA,ViG - Event # 19","Mars in Aries, Venus in Gemini - Instance 19 of the Constellation of This",TRUE,GY_ONEOFF,,,0157,2150-07-13 00:00:00,2150,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,7,13,,,,2150-07-18 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_20",200,"MiA,ViG - Event # 20","Mars in Aries, Venus in Gemini - Instance 20 of the Constellation of This",TRUE,GY_ONEOFF,,,0159,2152-06-12 00:00:00,2152,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,6,12,,,,2152-06-25 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_21",210,"MiA,ViG - Event # 21","Mars in Aries, Venus in Gemini - Instance 21 of the Constellation of This",TRUE,GY_ONEOFF,,,0161,2154-05-15 00:00:00,2154,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,5,15,,,,2154-06-05 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_22",220,"MiA,ViG - Event # 22","Mars in Aries, Venus in Gemini - Instance 22 of the Constellation of This",TRUE,GY_ONEOFF,,,0174,2167-06-02 00:00:00,2167,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,6,2,,,,2167-07-04 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_23",230,"MiA,ViG - Event # 23","Mars in Aries, Venus in Gemini - Instance 23 of the Constellation of This",TRUE,GY_ONEOFF,,,0187,2180-08-07 00:00:00,2180,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,8,7,,,,2180-08-08 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_24",240,"MiA,ViG - Event # 24","Mars in Aries, Venus in Gemini - Instance 24 of the Constellation of This",TRUE,GY_ONEOFF,,,0189,2182-07-11 00:00:00,2182,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,7,11,,,,2182-07-13 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_25",250,"MiA,ViG - Event # 25","Mars in Aries, Venus in Gemini - Instance 25 of the Constellation of This",TRUE,GY_ONEOFF,,,0191,2184-06-10 00:00:00,2184,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,6,10,,,,2184-06-20 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_26",260,"MiA,ViG - Event # 26","Mars in Aries, Venus in Gemini - Instance 26 of the Constellation of This",TRUE,GY_ONEOFF,,,0193,2186-05-14 00:00:00,2186,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,5,14,,,,2186-06-01 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_27",270,"MiA,ViG - Event # 27","Mars in Aries, Venus in Gemini - Instance 27 of the Constellation of This",TRUE,GY_ONEOFF,,,0206,2199-05-28 00:00:00,2199,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,5,28,,,,2199-06-25 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_28",280,"MiA,ViG - Event # 28","Mars in Aries, Venus in Gemini - Instance 28 of the Constellation of This",TRUE,GY_ONEOFF,,,0223,2216-06-09 00:00:00,2216,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,6,9,,,,2216-06-17 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_29",290,"MiA,ViG - Event # 29","Mars in Aries, Venus in Gemini - Instance 29 of the Constellation of This",TRUE,GY_ONEOFF,,,0225,2218-05-14 00:00:00,2218,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,5,14,,,,2218-05-28 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_30",300,"MiA,ViG - Event # 30","Mars in Aries, Venus in Gemini - Instance 30 of the Constellation of This",TRUE,GY_ONEOFF,,,0234,2227-07-16 00:00:00,2227,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,7,16,,,,2227-07-17 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_31",310,"MiA,ViG - Event # 31","Mars in Aries, Venus in Gemini - Instance 31 of the Constellation of This",TRUE,GY_ONEOFF,,,0255,2248-06-08 00:00:00,2248,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,6,8,,,,2248-06-13 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_32",320,"MiA,ViG - Event # 32","Mars in Aries, Venus in Gemini - Instance 32 of the Constellation of This",TRUE,GY_ONEOFF,,,0257,2250-05-12 00:00:00,2250,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,5,12,,,,2250-05-24 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_33",330,"MiA,ViG - Event # 33","Mars in Aries, Venus in Gemini - Instance 33 of the Constellation of This",TRUE,GY_ONEOFF,,,0266,2259-07-09 00:00:00,2259,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,7,9,,,,2259-07-15 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_34",340,"MiA,ViG - Event # 34","Mars in Aries, Venus in Gemini - Instance 34 of the Constellation of This",TRUE,GY_ONEOFF,,,0268,2261-06-11 00:00:00,2261,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,1,11,,,,2261-06-16 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_35",350,"MiA,ViG - Event # 35","Mars in Aries, Venus in Gemini - Instance 35 of the Constellation of This",TRUE,GY_ONEOFF,,,0287,2280-06-06 00:00:00,2280,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,2,6,,,,2280-06-09 00:00:00,
"OneOFF_MiAViG_MiA,ViG_-_Event_#_36",360,"MiA,ViG - Event # 36","Mars in Aries, Venus in Gemini - Instance 36 of the Constellation of This",TRUE,GY_ONEOFF,,,0289,2282-05-11 00:00:00,2282,TRUE,TRUE,FALSE,OneOFF_MiAViG,4,2,11,,,,2282-05-20 00:00:00,
